tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1315, b_ADM1_PCODE: CO52, b_ADM2_PCODE: CO52378, b_ADM1_ES: Nariño, b_ADM2_ES: La Cruz, au_area_km2: 238.25

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1316, b_ADM1_PCODE: CO19, b_ADM2_PCODE: CO19701, b_ADM1_ES: Cauca, b_ADM2_ES: Santa Rosa, au_area_km2: 3612.62

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1318, b_ADM1_PCODE: CO52, b_ADM2_PCODE: CO52258, b_ADM1_ES: Nariño, b_ADM2_ES: El Tablón de Gómez, au_area_km2: 306.11

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1320, b_ADM1_PCODE: CO19, b_ADM2_PCODE: CO19397, b_ADM1_ES: Cauca, b_ADM2_ES: La Vega, au_area_km2: 514.94

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1321, b_ADM1_PCODE: CO19, b_ADM2_PCODE: CO19693, b_ADM1_ES: Cauca, b_ADM2_ES: San Sebastián, au_area_km2: 418.14

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1322, b_ADM1_PCODE: CO41, b_ADM2_PCODE: CO41668, b_ADM1_ES: Huila, b_ADM2_ES: San Agustín, au_area_km2: 1388.1

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1323, b_ADM1_PCODE: CO19, b_ADM2_PCODE: CO19100, b_ADM1_ES: Cauca, b_ADM2_ES: Bolívar, au_area_km2: 795.79

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1324, b_ADM1_PCODE: CO86, b_ADM2_PCODE: CO86749, b_ADM1_ES: Putumayo, b_ADM2_ES: Sibundoy, au_area_km2: 97.49

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1325, b_ADM1_PCODE: CO86, b_ADM2_PCODE: CO86219, b_ADM1_ES: Putumayo, b_ADM2_ES: Colón, au_area_km2: 64.11

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1326, b_ADM1_PCODE: CO52, b_ADM2_PCODE: CO52110, b_ADM1_ES: Nariño, b_ADM2_ES: Buesaco, au_area_km2: 634.16

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1338, b_ADM1_PCODE: EC17, b_ADM2_PCODE: EC1702, b_ADM1_ES: Pichincha, b_ADM2_ES: Cayambe, au_area_km2: 1192.73

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1342, b_ADM1_PCODE: EC10, b_ADM2_PCODE: EC1005, b_ADM1_ES: Imbabura, b_ADM2_ES: Pimampiro, au_area_km2: 442.47

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1345, b_ADM1_PCODE: EC05, b_ADM2_PCODE: EC0501, b_ADM1_ES: Cotopaxi, b_ADM2_ES: Latacunga, au_area_km2: 1384.92

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1346, b_ADM1_PCODE: EC17, b_ADM2_PCODE: EC1703, b_ADM1_ES: Pichincha, b_ADM2_ES: Mejia, au_area_km2: 1483.43

tile_zoom: 3, tile_x: 2, tile_y: 3, fid: 1347, b_ADM1_PCODE: EC17, b_ADM2_PCODE: EC1701, b_ADM1_ES: Pichincha, b_ADM2_ES: Quito, au_area_km2: 4210.91

